Date,Data Quality,Standard Deviation,Peak-to-Peak Amplitude,Root Mean Square (RMS),Total PSD,Mean PSD,Signal-to-Noise Ratio (SNR),Median Absolute Deviation (MAD),Kurtosis,Skewness,Interquartile Range (IQR),Autocorrelation Peak,Wavelet Energy
2024-04-01,D,2454.7177,35366,16380.1884,15374247.8416,119180.2158,13.558,1444.0,1.8955,0.0155,2889.0,6,32252055265554.965
2024-04-02,D,2913.0334,43300,16455.2612,21768453.7886,168747.7038,12.4046,1632.0,2.5621,-0.0133,3264.0,9,32531635475354.887
2024-04-03,D,2632.3041,44694,16406.4488,17717431.9464,137344.4337,14.7643,1487.0,2.7349,0.0104,2974.0,5,32362435195422.715
2024-04-04,D,2242.689,36496,16348.7703,12930826.5018,100238.9651,15.3766,1348.0,1.8717,0.0278,2696.0,8,32106494868639.48
2024-04-05,D,2943.8699,44608,16461.1435,22159068.3349,171775.7235,12.8759,1620.0,3.1061,0.0145,3240.0,7,32564373308392.434
2024-04-06,D,2434.6757,101838,16373.2212,14942378.9001,115832.3946,22.4412,1352.0,18.4234,-0.1819,2703.0,9,32232331691913.46
2024-04-09,D,2303.7218,43755,16360.8657,13567061.1779,105171.0169,16.7642,1177.0,5.2333,0.011,2353.0,7,32171011391354.027
2024-04-10,D,1627.8114,42843,16281.3697,6757975.8422,52387.4096,22.878,874.0,5.2426,-0.0211,1747.0,7,31861119723339.09
2024-04-11,D,2885.8168,43894,16452.7554,21114148.3556,163675.5686,13.556,1599.0,3.0368,0.0209,3199.0,8,32533095045513.92
2024-04-13,D,2239.032,31317,16342.8153,12864248.1053,99722.8535,14.2736,1263.0,2.1234,-0.0008,2527.0,8,32090802119247.46
2024-04-14,D,1097.3902,29816,16226.341,3086280.1783,23924.6525,29.6075,575.0,8.7379,0.1113,1149.0,7,31637157990020.203
2024-04-15,D,2065.8931,33444,16321.0218,10911091.3448,84582.1034,15.6707,1102.0,3.1512,-0.0176,2206.0,6,32013331796418.895
2024-04-16,D,2340.3213,45769,16359.4819,13960692.552,108222.4229,16.3114,1255.0,3.8319,-0.028,2509.0,8,32154648154761.332
2024-04-17,D,2459.752,41517,16376.0589,15404326.544,119413.3841,15.3804,1302.0,2.7178,0.0081,2605.0,4,32263918421680.402
2024-04-18,D,2320.9841,32794,16357.4654,13845148.9355,107326.7359,14.1061,1248.0,2.6104,0.0012,2496.0,5,32163138035323.79
2024-04-19,D,2701.3693,39427,16415.9374,18723519.4203,145143.5614,13.2363,1474.0,2.6205,-0.0019,2947.0,8,32394380403178.133
2024-04-20,D,2429.6539,44714,16375.2584,15067200.7045,116800.0055,16.0224,1352.0,2.959,0.0219,2705.0,4,32238863653066.766
2024-04-21,D,1354.4553,31457,16249.2618,4675345.031,36242.9847,23.4884,701.0,5.7353,-0.0322,1402.0,8,31727942399984.33
2024-04-22,D,2534.3277,63113,16389.9061,16484309.7905,127785.3472,17.8513,1329.0,6.1209,-0.0191,2657.0,7,32276407167695.168
2024-04-23,D,1922.7016,40946,16305.8926,9427215.8769,73079.1928,17.8832,1046.0,4.629,-0.026,2091.0,6,31962880206921.51
2024-04-24,D,1908.7182,25546,16306.017,9302103.9865,72109.3332,15.4727,1088.0,1.9124,-0.0039,2177.0,8,31942232703359.6
2024-04-25,D,2021.6836,38021,16318.7999,10429115.6263,80845.8576,16.8004,1113.0,3.0605,-0.0048,2225.0,7,32004139134146.88
2024-04-26,D,2506.6683,30056,16387.5564,16024669.4543,124222.2438,12.4017,1471.0,1.5609,0.0092,2942.0,6,32283901736124.258
2024-04-27,D,1400.1745,28889,16256.4167,5045017.8561,39108.6656,22.5315,774.0,4.3014,0.0512,1548.0,8,31750095029872.008
2024-04-28,D,1316.2727,19788,16249.2331,4422535.5177,34283.2211,19.3615,748.0,2.1907,0.0157,1496.0,6,31742335094501.613
2024-04-29,D,2262.2154,42366,16351.9213,13167586.12,102074.311,15.5693,1256.0,3.7032,0.0255,2513.0,8,32117542903673.69
2024-04-30,D,2034.8054,25274,16323.0492,10663213.9906,82660.5736,14.3984,1152.0,1.8283,0.0113,2304.0,7,32018408188565.797
2024-05-01,D,1893.4556,30071,16306.1406,9166932.7589,71061.4943,16.6484,1002.0,2.8167,0.0078,2005.0,8,31945608588979.066
2024-05-04,D,1872.854,43760,16303.0262,9011478.5696,69856.423,20.1019,960.0,7.5101,0.0043,1921.0,7,31942248674371.973
2024-05-05,D,1635.2341,26439,16277.8552,6875421.349,53297.8399,18.4322,840.0,3.9188,-0.0132,1680.0,6,31850507566332.984
2024-05-06,D,2061.8293,31918,16326.8494,10841537.3097,84042.9249,15.8694,1127.0,3.3788,0.0081,2253.0,6,32038493666288.875
2024-05-07,D,2432.5105,33291,16379.5169,15052823.5699,116688.5548,13.3726,1358.0,2.2055,-0.0095,2714.0,6,32246399259550.457
2024-05-08,D,2306.9378,30412,16359.4887,13637467.0738,105716.799,13.4811,1383.0,1.438,-0.0076,2767.0,5,32190793300676.57
2024-05-09,D,2352.3657,43180,16368.5517,14121858.0651,109471.7679,15.8292,1339.0,2.4974,0.0061,2677.0,6,32197113734693.895
2024-05-10,D,2258.1847,40682,16353.4723,12956788.7702,100440.223,16.7834,1293.0,2.2576,-0.0043,2588.0,6,32156273391526.766
2024-05-11,D,1884.8432,56968,16307.0637,9188631.9407,71229.705,23.6407,1016.0,10.2965,0.0159,2032.0,7,31959107945118.406
2024-05-12,D,1631.5777,30704,16279.8033,6842498.7178,53042.6257,19.5486,785.0,5.5927,0.0535,1570.0,8,31853326426822.93
2024-05-13,D,1900.1462,34124,16309.9244,9298635.9495,72082.4492,17.6134,1110.0,2.3021,0.0014,2221.0,6,31985658867073.516
2024-05-14,D,2307.526,39496,16364.0669,13601836.6564,105440.5942,15.8265,1222.0,3.5355,-0.0057,2444.0,8,32168586374393.14
2024-05-15,D,2008.604,38628,16321.8781,10384511.13,80500.0863,18.3097,1107.0,3.5897,0.0156,2214.0,6,32019731293357.906
